id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,image,price_closed
135,6,8,5.5,7783,15867,421700,0,2709 Woodstock Road,Woodstock,,1875,2,Yes,No,River,"1,047",No,11,No,Yes,Yes,No,Yes,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/2831105/0/60/45/0b5745e026af2e73e9d822364ddd120b/0/1373815bf1e9842355bc7b1a559c7c46/2831105.JPG,415000
136,5,3,58.1,4080,18957,1041270,2,3862 Pomfret Road,Pomfret,Detached,1850,2,Yes,No,Pond,,No,10,Yes,No,,Yes,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4390725/0/60/45/4907bf8ede9197aafc3452bc3b2c7c20/0/89d16dde631495f23af505112da88265/4390725.JPG,750000
137,4,4,133.3,3800,23815,1367040,2,216 Galaxy Hill Rd,Pomfret,Attached,1986,2.5,Yes,No,,,No,10,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4361410/0/60/45/23e0f8ba3a8bcc99d38a8d8804b09a49/0/bdc6a0631bd4bb2135a3119abbe04df5/4361410.JPG,1200000
138,3,3,0.75,1765,6392,305700,1,25 Prospect Street,Woodstock,Attached,1820,1.5,No,No,,,,8,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4221619/0/60/45/a1f0a666fbc5721a9084b609de46a561/0/5121d762d7eb9da157a6378e713b94b2/4221619.JPG,329000
139,5,4,88.8,5564, -   ,6575800,2,9501 Sincerbeaux,Woodstock,Detached,1805,2,Yes,No,Pond,,No,11,Yes,No,Yes,Yes,Yes,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4008791/0/60/45/15c91d6485b031753ae70976c022bc30/0/9e04b6b0d27b933bbef936ed392a172f/4008791.JPG,3000000
140,4,4,12,4163, -   ,770040,2,5685 Route 12,Barnard,Attached,2007,2,Yes,No,Brook,301,,11,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4038760/0/60/45/ac31d31a4af4fdd9d255a418b1956f95/0/a9162472df9649c0c77127b3f68d1f56/4038760.JPG,775000
141,5,5,53.9,6648,17519,917830,3,16 Midsomer Meadows Lane,Barnard,Attached,2008,2.5,Yes,No,Brook,,No,15,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4433558/0/60/45/b933fba76f52097ef3bbce01c64c11cd/0/0bb7230c9bf5fbc538de69211c1659c0/4433558.JPG,550000
142,4,5,6.4,4734,23339,1135100,2,1043 Noah Wood Road,Woodstock,Detached,1998,1.5,Yes,No,,,No,12,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4623028/0/60/45/133592fcbfd2c01bcbe1cd54a00e3412/0/0a4730e0841452766196a116b1c150e5/4623028.JPG,1090000
143,5,3,14.1,2962,11850,825200,2,3300 Hartland Hill Road,Woodstock,Attached,1996,2,Yes,No,,,No,9,Yes,No,,No,No,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4255756/0/60/45/9c01b4896c76b6cbbda0afd21eb83cbf/0/5bbea0f8b1f4b842e28e0e4fd5960275/4255756.JPG,610000
144,4,4,4.15,3564,17892,927400,2,15 Hathorn Hill Extension,Woodstock,Attached,2009,2,Unknown,No,,,No,12,Yes,Unknown,,Unknown,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4336558/0/60/45/713a87f66c72f73ccd486e5bd9183699/0/2666d3956c5b435761d87555728790fa/4336558.JPG,1149000
