id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,image,price_closed
191,4,4,2.8,4344,15101,782700,2,64 Town Farm Road,Woodstock,Detached,1998,2,Yes,No,,,No,12,Yes,No,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4358520/0/60/45/e1e863e096b3c2903c88712fec331633/0/f15a93f7f21b99604278fe909507da3d/4358520.JPG,975000
192,1,2,0,1730,5720,296500,0,17 Pleasant Street,Woodstock,,1900,3,Unknown,No,,,No,5,No,Unknown,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4471148/0/60/45/7bb6ec9b7347a56b7733b055cd16c560/0/760eb2b359990672988ee3e6c1251715/4471148.JPG,365000
193,3,2,5.27,2164,8060,414400,3,506 Westerdale Road,Woodstock,Detached,1987,1.5,Yes,No,Pond,,No,7,Yes,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4508791/0/60/45/963bf9fa7feebc9c8b2347bdcddd8428/0/18a3988fe8c4422cc1fdecdaf2efbda3/4508791.JPG,370000
194,3,3,10.12,3200,7057,365800,2,115 Oak Ridge Way,Woodstock,Detached,1980,2,Yes,No,,,No,9,Yes,No,,,Yes,,Walk-up,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4452034/0/60/45/d072d45439534687fc0cb3081e9801b8/0/52f6560abd2cb5ae84f7e76196bffb55/4452034.JPG,560000
195,3,3,4.96,2100,6950,397100,3,3897 Hartland Hill Road,Woodstock,Detached,1905,2,Yes,No,Stream,,,9,Yes,No,,No,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4090645/0/60/45/1d2003b8af56f235c2dfec5889d764ab/0/07ee36f36d72607c5117ffb53c7b474b/4090645.JPG,360000
196,3,2,1.13,2156,7184,324600,2,918 College Hill Road,Woodstock,Attached,2000,2,Yes,No,,,No,8,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4470231/0/60/45/226952677803aa57803b74ca7008b1b4/0/2709aaacb84d9b3f7a2fc015a43ff21b/4470231.JPG,400000
197,3,3,13.75,2443,10407,539400,3,76 Grove Hill Rd.,Woodstock,Detached,1983,1.5,Yes,No,,,,9,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4255965/0/60/45/12c1e85d1fabd9dc68f360dbdc761aaa/0/c48432c82627634866506f0d101ad224/4255965.JPG,610000
198,2,3,1.04,1614,6404,323700,0,39A Elm St,Woodstock,,1820,2.5,Yes,No,,,,5,No,No,,,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4067635/0/60/45/e5f57c0300d8dcc89a9ceb1597ac9e41/0/9efef3ea6c4682b348a1b7fa2c20ed3e/4067635.JPG,425000
199,3,3,0.39,2410,8181,391300,2,16 Prospect Street,Woodstock,Under,1998,1.5,Yes,No,,,No,8,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4337053/0/60/45/c1c241a9c9fc6ddedb9bbc35cc12f3ab/0/011c82f8578b0c044dca0bd9f1c833a9/4337053.JPG,385000
200,3,3,8.32,3739,21020,40600,2,3 Border Lane,Woodstock,Attached,1961,1,Yes,No,,,No,10,Yes,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4208614/0/60/45/87a999673c1ad4a532be34ba8cbb0f1d/0/cd8e6512811346f06e454f3572223c0f/4208614.JPG,1400000
201,3,2,23.19,3589,7409,384000,1,1014 Noah Wood Rd,Woodstock,Detached,1992,1.5,Yes,No,,,,6,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4252714/0/60/45/89bbd7c462940445255676580e458feb/0/18ba2f3e8516512ff5bb470d893db1bd/4252714.JPG,410000
202,3,3,5.01,2214,7573,362200,2,164 Juniper Way,Woodstock,Attached,1974,2,Yes,No,,,No,6,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4351897/0/60/45/47870d9525cb7283b4e8f8daca75bfcc/0/e8482964ed9d0927b17c00e88dc2f94f/4351897.JPG,490000
203,3,4,0.64,2322,6722,,2,9 Shurtleff Lane,Woodstock,Attached,1993,2,Yes,No,,,No,8,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4511366/0/60/45/b35a1913de33bfd049674cddfe1a835d/0/360ec77ab88380b01aec320717a41059/4511366.JPG,403000
204,5,3,,3120,,926710,3,17 Totman Hill,Pomfret,Detached,1863,2,Yes,No,,,,10,Yes,No,,,Yes,,,,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4603090/0/60/45/702d2ef1c6781a64d7977ce38fd4ada6/0/d5f24f60731f0bef59a1d4e528df8da8/4603090.JPG,1450000
205,3,1,11.72,3000,,1634670,4,762 Royalton Turnpike,Barnard,Detached,1973,2.5,Yes,No,Pond,,No,9,Yes,No,,No,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4489247/0/60/45/4deee368026e2de9b60416b9d05ed0a7/0/af8370734152a03642cc2225b4526af3/4489247.JPG,549000
206,3,3,2.8,3046,10434,540800,0,204 Willow Brook Road,Woodstock,,1995,2,Yes,No,,,No,9,No,No,,No,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4487933/0/60/45/fca76afdbfeeeb853ddff0186dbf3e1d/0/e474060492d640bafcd656ffc2cb15eb/4487933.JPG,493000
